P10790390X0000|67 75|mod ( mdg4 )
P07969135A0913|21 34|Cln2 PEST domain
P08932385T0000|0 15|Small Maf proteins
P10827952A0158|126 142|histone H4 peptides
P09556573A1062|33 41|PPARalpha
P08617311A0979|125 135|Xenopus mIgY
P11150315A0844|34 36|ERK
P02473619A0202|220 232|IgE antibodies
P11669476A0346|25 49|tumor necrosis factor-alpha
P01594554A0845|41 43|CCK
P08621453A0815|11 40|anti-phosphotyrosine antibodies
P08336698T0000|0 3|TFEC
P11313961A1323|127 133|p53 gene
P07835888A0402|19 24|XD gene
P08413274A0452|0 3|MDBP
P10791901A0609|98 105|MRP1 gene
P02298741A0809|218 238|anti-PKC alpha antibody
P07831310A0000|155 164|TEV mutants
P08132574A0831|88 90|HLA
P09605934A0801|57 59|USF
P10760169A1142|25 33|CreA sites
P08972182A0000|3 13|Fas receptor
P11069307A0546|12 15|RNA2
P11516890A0236|24 38|cytochrome P-450
P10932196A0359|14 21|RP2 locus
P08437521A0000|198 208|areA product
P01309894A0807|12 16|Rep68
P00378492A0475|98 108|plasma renin
P08316209A0000|48 51|CYS3
P10918572A1547|31 39|TGF-alpha
P02474110A1039|54 80|angiotensin converting enzyme
P09572511A0148|22 28|RBI-MAP
P08639837A0268|83 91|Ets family
P09391173A0811|35 45|ACCase genes
P08035796A0890|43 52|eIF-2 alpha
P10841537A0669|32 35|RPB5
P07665187A0824|18 27|S1 nuclease
P01340470A0000|2 23|RNA-binding protein gene
P09010223A1850|90 97|EWS-FLI1
P08288622A0725|62 68|HDC mRNA
P11063127A0000|74 91|protein phosphatase
P07720710A0861|9 20|HMG2 proteins
P08649373T0000|74 87|human c-myc gene
P08731222A0000|193 224|Phaseolus vulgaris leucoagglutinin
P11355576A1125|108 110|pRb
P10469656T0000|106 109|MSK1
P07735833A1078|28 31|LysU
P09118704A0771|59 63|G-CSF
P08001136T0000|14 33|CDK-activating kinase
P10542269A0000|20 24|Abeta
P10727413A1244|61 89|hamster CYP7A1 proximal promoter
P07832779A0719|19 34|endoglycosidase H
P09195923A0125|199 215|TPR-binding region
P07608968A0836|17 26|Tat mutants
P09753775A0734|8 11|ICK1
P09703021A0000|10 43|arylalkylamine N-acetyltransferases
P11031252A0646|26 35|PKC epsilon
P11355576A1125|85 106|tumor suppressor protein
P07473742A0187|3 14|protein ELT-1
P10375640A0153|46 50|CBS-1
P08290278A0374|17 19|Mad
P02111015A0574|115 132|IFN response factors
P11376687A0344|130 144|B-type MTH1 mRNAs
P09508775A0293|60 89|mitogen-activated protein kinase
P10874044A0647|73 76|ERK2
P11179668A0869|53 62|PLTP family
P11145571A0788|98 120|gamma-activated sequence
P08637006A0000|126 133|E2F sites
P09388200A0639|74 77|MDM2
P08001792A0284|13 16|git5
P07713936A0393|109 112|aidB
P11706949T0000|16 49|insulin-like growth factor I receptors
P10094701A0000|68 71|ackA
P11535832A0586|21 25|HDAC9
P07782775A0889|83 97|BBTV coat protein
P01824713A0964|65 69|c-jun
P00603783A0647|77 79|IgA
P08894144A0330|89 91|CsA
P02201905A1004|50 60|RAP1 protein
P09641167A1359|28 31|PDGF
P03062370A0384|75 78|GCN4
P02689439A0402|93 102|rat Yb1 gene
P08278548A0597|8 11|psaF
P02573836A0244|87 90|mdr1
P11525640A0560|19 27|ERK kinase
P08207232A0503|49 55|NF-IL-6
P07730273A1309|10 21|NarQ proteins
P02418701A0000|48 70|carcinoembryonic antigen
P08269424A0339|45 48|ACTH
P10639585A0157|9 15|MPO gene
P11353774A0255|84 87|FKHR
P09239635A0477|85 87|IgA
P08781119A0723|24 41|mouse Met-ase-1 gene
P01333047A0404|37 64|platelet-derived growth factor
P09723896A0000|127 130|PPRE
P07623844A0639|75 77|p53
P07490770A0267|17 25|coxI genes
P10409699A0292|165 182|mannosidase homolog
P09763607A0521|65 67|JNK
P11195401A1030|10 12|AVP
P07629150A0155|15 25|CYP11A1 gene
P01320640A0336|61 67|insulin
P10327051A0688|27 57|Stress-Activated-Protein-Kinase
P11158295A0158|58 69|Src homology 3
P11226228A0899|27 40|yeast TyrRS gene
P10540292A1179|20 36|spv virulence genes
P03915540A0863|94 97|gcn2
P09712898A0911|5 9|TRAF2
P03692331A0000|12 28|beta-adrenoceptor
P11059786A0682|100 103|EGFR
P09738693T0000|9 15|rhG-CSF
P11029467T0000|30 76|pituitary adenylate cyclase-activating polypeptide
P10611320A0816|65 71|CAK gene
P02485188A0415|28 30|ABC
P04014833A0400|116 128|concanavalin A
P10190324A0000|17 27|elastin gene
P06308607A0375|104 114|p30 sequence
P09882451A0195|94 98|HEM15
P07784079A1018|176 183|basic FGF
P01844982A0324|37 54|anti-nuclear factor
P11168588T0000|77 97|c-Jun N-terminal kinase
P07682842A0294|107 116|fMLF-R gene
P11593394A0000|0 28|Transforming growth factor-beta
P10702241A0357|11 19|a1 isoform
P10074903A0915|61 71|p202 protein
P11254504A0766|77 79|Sp1
P02571924A0000|98 111|rhodotorucine A
P10413676A0595|126 141|SH3 binding region
P10551879T0000|0 31|Cyclic AMP-dependent protein kinase
P03143048A1091|36 52|apolipoprotein A-I
P09305755A0540|90 92|NF1
P11207282A0729|172 189|IgH gene transcripts
P08601616A0726|19 29|pds1 mutants
P09731513A1090|85 88|AP-1
P09480843A0848|143 149|rat RL14
P02989786A0328|67 72|CATase
P08223425T0000|3 15|yeast SSS1 gene
P09006022A0252|33 40|cvaA gene
P10618645A0750|18 21|AP-1
P10620777A1399|0 7|AB004534
P09546424A1550|26 42|PDGF beta-receptor
P01871135A0295|130 148|rat liver glucokinase
P10728986A0000|3 5|Wnt
P10576545A0926|57 77|murine D1A gene promoter
P07504171A0715|103 105|Src
P09147420T0000|0 2|TAR
P07494244A0335|14 19|E1A243
P02686588A0592|77 95|alkaline phosphatase
P07812450A0849|58 65|nspC gene
P09393966A0190|40 42|CHA
P09414287A0637|28 42|Sp1 binding sites
P09582306T0000|66 73|G protein
P09716183A1036|0 2|TBP
P10640734A0190|59 61|SH2
P09233809A0381|39 42|Hnf3
P11505407A0461|98 121|tumor necrosis factor alpha
P08580083A0259|148 183|chloramphenicol acetyltransferase gene
P11359568T0000|137 140|parS
P06796300A0759|18 26|prolactin
P08325504A0226|7 10|RD19
P07256543A0814|96 112|carboxyhemoglobin
P09030688A0435|2 12|rlf2 mutants
P01339373T0000|77 93|SNF1 protein kinase
P10955998A1124|78 86|S120K MutY
P03862898A0563|11 13|IgE
P09368419A0000|56 59|rd22
P10713176A0885|136 140|INK4A
P09111309A0674|98 111|HB-EGF promoter
P08709245A1521|132 135|HDAg
P07760790A0327|17 32|MEF2 reporter gene
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P08455611A0000|79 106|alpha globin regulatory element
P07720710A0861|3 5|Oct
P08584026A0115|3 12|hIGF-I gene
P08662852A1297|113 116|GRK1
P10407269A0000a|43 47|cdc18
P04239041T0045|54 59|ATPase
P09705258A0837|75 80|IE gene
P11116148A0741|31 37|insulin
P09736697A1107|7 10|ERKs
P11371115A0962|50 59|HBs antigen
P02958204A0175|84 95|apoprotein A1
P08816498A0000|51 54|Rats
P09388198A1396|119 122|rhoB
P10200473A0171|130 136|I-FLICE
P03934667A0124|30 34|crsA1
P10488148A1267|104 112|NF-kappaB
P09010223A0667|41 44|FLI1
P01824944A0988|104 106|IgE
P09064659A1055|51 54|UPF1
P01837842A1410|0 3|CREB
P11435578A0760|16 43|cyclic AMP-responsive elements
P11145562A0468|82 103|simian virus-40 T antigen
P11092809A0823|29 32|ERKs
P09525891T0000|91 94|CRS1
P02022188A0112|156 180|high mobility group proteins
P01918073A0150|348 356|troponin C
P10524258A0286|32 41|FGFR-1 gene
P08413186A1199|3 10|Ntl1 gene
P10395283A0960|39 42|OP-1
P01316903A0296|25 39|RNA polymerase II
P06938948T0001|15 34|serum immunoglobulins
P10671519A0641|110 118|LEM module
P07913926A0878|99 109|glnA message
P11356716A0372|54 66|GHS-R variants
P07510635A0479|190 194|Pol II
P09753774A2246|88 112|fructosyl transferase genes
P11035037A0183|39 45|yTAF145
P08943032A0000|3 30|Escherichia coli tet-repressor
P08499916A0000|3 12|COL7A1 gene
P11313398A0687|23 29|wt-ITAM
P02175433A0575|31 46|beta A-globin gene
P02555177A0488|100 106|aI5 beta
P08509430A0372|125 132|psaB gene
P07816049A1157|65 70|Atcys1
P10825294A0473|11 20|OC promoter
P01316903A0296|96 98|IIO
P02405393T0000|61 76|human c-ets-2 gene
P08925545T0001|26 32|r-HuEPO
P09641167A1359|52 59|LDLr gene
P07926739A0766|22 24|GL2
P01324404A0813|114 129|HNF-3 beta protein
P02200736A1003|64 67|AP-4
P09717835A0941|32 37|xIRS-u
P11161816A0851|36 53|endophilin proteins
P10623804A0808|130 141|Fc gamma RIIB1
P09765271A1108|199 238|insulin-like growth factor-binding protein 1
P09486531A0638|20 24|HFH-8
P08139928T0000|0 3|RNP1
P07902532A0312|63 77|thymidine kinase
P09339900A0939|122 124|AP2
P11050084A0888|39 47|PPARgamma
P09339900A0939|126 129|NF-Y
P08023662T0000|64 74|prothrombin
P09028942A0000|86 90|c-fos
P09165004A1700|119 123|Elk-1
P07988559A0836|20 29|RBP-J kappa
P08334989A0070|184 205|luciferase reporter gene
P07798217T0000|27 33|CREB341
P08649427A0689|62 85|GTPase-activating protein
P10681588A0899a|125 156|CCAAT enhancer-binding protein beta
P09333018A0000|0 25|Interferon Regulatory Factor
P10727426A1280|19 23|PfPK6
P10454568A0815|102 106|IGF-I
P08972232A0365|30 34|hGCN5
P09660836A0983|48 50|MEK
P07768824A0167|74 86|RNA polymerase
P09305755A0540|195 197|AP2
P02543679A1291|75 78|DnaK
P11238916A0838|34 41|paxillin
P02107073A0584|31 34|STE4
P10625683A0091|20 41|protein tyrosine kinases
P09918715A0304|0 3|MotA
P10383966A0000|3 27|penicillin binding proteins
P07453919A0000|201 203|IgG
P09180687A0096|24 27|SulA
P03275867A0187|94 97|HMR E
P10706688A0376|30 33|AP-1
P09447973A0168|63 67|mSos1
P08649403A0963|18 21|reg1
P09414319A1442|29 34|Surf-3
P00201881A0487|72 74|MSH
P10712599A0349|15 19|IRF-1
P02376023A0307|51 54|IgG1
P09927570A0507|13 16|RNU2
P10713175A1399|46 49|Mdm2
P01713213A0000|37 60|human pim-1 proto-oncogene
P09840934A0435|14 17|G12V
P08952483A0207|57 83|hamster lysyl-tRNA synthetase
P01331057A0000|24 28|COX12
P09837913A0000|0 14|Type 2 deiodinase
P07476701A0654|24 36|IgE antibodies
P11112700T0000|117 145|microtubule associated proteins
P10908364A0000|0 4|G-DNA
P02052544A0641|130 133|DPB2
P08119149A0000|0 24|Tumor necrosis factor-alpha
P02163347A0472|133 149|human ets-1 protein
P10212278A0387|49 53|c-jun
P08076631A0000|38 53|vitamin D receptor
P08901135A1132|3 13|NIT2 protein
P09446600A0260|45 58|full-length Ahr
P04014861A0000|131 138|catalase
P09886602A0000|85 87|PSA
P08566747A0756|0 2|SBF
P10446912A0883|46 48|OF5
P09435056A0128|202 204|MBP
P10801860A0000|3 9|Siglecs
P08574583A0658|3 12|Clb5 kinase
P10369926A0251|25 34|chicken IL8
P07796935A0284|100 111|c-erbA alpha 2
P08702644A0499|40 45|apoB17
P10790390X0000|218 240|gypsy insulator sequences
P09343210A1112|169 182|NF-kappaB sites
P02269426A0428|28 30|Tat
P11367523A1684|27 29|C4A
P07510635A0479|197 202|Pol III
P07565776A0612|22 30|PBS2 genes
P09716179A0974|87 108|cyclin-dependent kinase
P06328485A0277|236 255|chicken proto-myc gene
P08833153A0628|27 44|hCHLR gene sequences
P08182056A0695|85 92|NQO2 gene
P09553040A0651|99 101|Ras
P08876167A0717|151 154|gp91
P07766885A0405|80 83|CDPK
P11287578A1311|11 23|interleukin-8
P01406677A0000|224 244|firefly luciferase gene
P09223479A1193|34 40|serpins
P02744490A0894|117 125|PTHrP gene
P09278454A1261|16 31|MMP-2 RE1 sequence
P11171118A0836|42 46|PSE-A
P01313909A0526|18 21|ICP0
P08873063A0875|53 58|USF RNA
P07534297A0141|135 137|CAT
P08887678A0000|55 67|GAL10 promoter
P08622645A1026|75 95|RXR-responsive element
P09360422A0135|82 95|thrombomodulin
P08063836A0904|28 32|c-myc
P08561897A0604|76 78|Sp1
P08892755A0186|96 98|JH1
P03065621T0000|74 78|MRP13
P10597317A1156|64 67|LMP1
P08349632A0679|48 52|PSG12
P02542612A0530|112 112|Z
P11221845A1713|91 94|mlt 1
P09971815A2094|251 261|v-bcl-2 gene
P08529098A0549|81 84|SMF1
P05425195T0001|36 44|EC 2.6.1.1
P10084294A0219|103 113|transferrin
P11094066A0505|84 90|FKHR-L1
P08995054A0618|70 77|gag genes
P07579164A0409|72 80|atp9 genes
P10739671A0136|287 313|interferon regulatory factors
P08598449A0784|129 158|src-like protein tyrosine kinases
P08057356A1824|62 74|NarL heptamers
P08123787A0554|33 57|cyanobacterial HemB protein
P09451003A0894|5 21|Esigma54 promoters
P01527020A0511|33 59|rat AdoMet decarboxylase genes
P08660998A0851|60 71|AP-2 elements
P08514757A1100|4 16|immunophilins
P01913955A0177|376 388|type 1 collagen
P02505087A1037|40 42|Fos
P09169853A0000|8 30|paired-type homeobox gene
P08072547T0000|0 4|c-Fos
P10866689A0295|80 95|tal-1 binding site
P10505694A0000|0 13|Interleukin-12
P01312005A0600|49 52|MDP1
P11181548A0214|109 119|mE-RABP gene
P10511554T0000|63 88|Caenorhabditis elegans cdf-1
P09884232A0286|26 29|attP
P11404016A1922|90 94|TE IIs
P10601344A1653|92 97|beta1D
P10026784A2166|5 9|Oct-1
P11368901A0327|68 72|RTE-1
P07642633T0000|150 154|TEF-1
P08617800A0150|27 36|erbB-2 gene
P09931435A0357|54 58|ZIS-2
P11078726X0000|31 38|human p53
P01276105A0313|14 20|insulin
P03194410A0771|2 11|UOxase mRNA
P10229668A0560|120 124|eIF4E
P09169420A0000|145 147|p55
P01313846A0850|130 145|melanoma Ag MUC-18
P02714852T0000|18 22|HLA-B
P10373523A0924|18 23|p50E4F
P08886845A1274|76 77|Me
P09244282A1371|95 99|pec-1
P07524265T0000|45 49|G-CSF
P08810278A0682|84 92|p130 ( CAS )
P10905349A0329|44 69|XPF endonuclease superfamily
P09595496A0000|43 46|ET-1
P09511724A0483|32 41|Dsg protein
P09927449A0421|16 19|POG1
P01333053A0110|121 124|ACTH
P10455189A0427|46 49|HEF1
P08551572A0155|81 89|pp38 mRNAs
P11054565A0654|142 150|GAP domain
P10852485A0477|28 32|Q gene
P11416132A1351|56 61|bxd PRE
P08631934A0000|115 117|MBS
P10078876A0000|211 220|hemoglobin
P09482902A0423|134 136|p15
P07642538A0138|274 277|MAPK
P10756100A0457|39 41|IB1
P09388199A0948|135 138|LexA
P10890911A0470|155 158|Xtwn
P00715753A0241|10 14|CK-MB
P09837824A0419|12 17|telSMN
P11145743A0170|72 98|thyroid transcription factor 1
P09811730A1396|98 107|KCS protein
P09267431A0000|29 33|SPK-4
P09121433A0463|25 28|MEF2
P09009208A0337|65 71|Tf1 mRNA
P09393875A0873|201 210|Fos protein
P07628389A0145|0 24|Tumor necrosis factor-alpha
P11387950X0001|245 247|ANP
P09704296T0000|65 79|immunoglobulin E
P02834478A0000|97 104|Xa factor
P09223475A0898|59 62|IE86
P11158288T0000|15 36|RNA polymerase II complex
P08051059A1000|99 111|RhlR regulator
P02229068A0156|116 120|gp160
P08626809A0729|14 17|pPKR
P07823919A1422|40 42|RAR
P11276426A0501|8 12|Mmip1
P09419421A0385|46 49|TKC1
P11179272T0000|57 69|IgG antibodies
P10473589A0189|50 58|integrase
P09234703A0192|0 2|JNK
P02555703T0000|177 181|v-abl
P02041088A1053|109 144|chloramphenicol acetyltransferase gene
P11350957A0457|0 8|PACAP mRNA
P03619249A0428|116 123|anti-HBe
P08132541A0000|29 55|T-cell-specific human MAL gene
P08504928T0000|52 76|human cell cycle gene product
P08631944A0663|79 87|IgE grande
P11532856A1175|137 140|MAPK
P11223246A0359|57 86|retinoblastoma-binding proteins
P09582267A0326|83 89|Siah-1A
P01321280A0494|165 171|BPV-1 E6
P09121774T0000|78 97|serum response element
P06181216A0070|57 59|IgA
P10570996A1213|125 142|TK class II receptors
P10748125A0000|0 10|Inhibitor-1
P09092636A0802|104 125|DYZ3 satellite sequences
P06163433T0000|75 90|monoamine oxidase
P09513759A0716|50 53|iPTH
P08643111A0855|273 276|mLL2
P09233772A0136|196 226|guanine nucleotide exchange factor
P11282029A0075|86 89|NF-Y
P10894816A0836|122 125|IL-6
P01653238A1062|123 126|AP-1
P08413239A0490|130 142|U2 transcripts
P10874044A0647|85 88|JNK2
P02830282A0155|13 21|A1 protein
P03499657A0000|0 10|Osteocalcin
P03001645A0785|11 19|his3 genes
P10051488A1610|65 70|HMAP-1
P09819411A0897|2 7|DNase I
P11353774A0255|197 198|NR
P08624445A0257|117 118|Ac
P10601290A0742|143 145|I1F
P05362866T0000|0 4|Renin
P11836303A0518|0 7|TNFalpha
P09776360A1781|0 8|NF-kappaB
P08721989A1012|130 134|beta c
P03597218A0901|75 89|antithrombin III
P09171081T0000|42 72|bacteriophage-type RNA polymerase
P11181531A0464|86 105|NF-kappa B target genes
P09202669A0614|150 153|neoR
P08443340A0522|120 137|beta-glucuronidase
P08361754A0733|33 43|b-Zip domain
P08702807A0964|109 124|cyclin D1 promoter
P02113174A0957|0 6|Krox-24
P06671385A0856|36 46|plasma renin
P08995652A0812|240 252|UL26.5 protein
P10549354A2371|40 52|Tcf target gene
P09211913A0000|110 112|AhR
P10563836A1234|98 108|AP-2 protein
P09108038A1128|40 46|Acan125
P11059786T0000|0 28|Epidermal growth factor receptor
P09325278A0458|161 164|mta1
P07937965T0000|6 10|c-myc
P07693975A1418|93 94|PR
P11046148A0716|0 4|LMP2A
P00918556A0000|49 56|anti-HBs
P02176209A0954|21 23|EFI
P09312025T0000|79 88|SV40 small t
P07731898A0823|208 212|SOD-1
P09736770A0351|114 116|Sp3
P06281759A1086|7 25|RNase III host mutants
P10228009A0600|48 77|TNF receptor-associated factor-6
P08516324A0000|224 231|FLI1 gene
P11069756A2618|285 287|p38
P10393422A0476|91 96|LAMB2L
P01285009A0000|111 113|mMT
P07935418A0447|73 77|RLD-1
P10469174A0678|107 110|MBF1
P10320579A1831|20 23|FliT
P10965135A0735|177 191|MAP kinase kinase
P01766666A0788|27 33|rNFIL-6
P01837787T0000|3 18|murine Mov-34 gene
P09053309A1103|44 53|oep mutants
P11238405A0817|33 36|atf1
P08645219A1377|63 67|MRP14
P02335713A0905|44 47|ALAD
P08421910A0599|61 63|p50
P01572549A0000|23 26|PTKs
P09795213A0129|25 32|hTAFII68
P11881923A1256|48 50|CBG
P01697928A1214|94 129|interferon-stimulated response element
P11071924A0588|106 110|SLI-1
P01714902A0221|130 142|interleukin-2
P10498717A1048|30 33|RsmC
P01688841A0430|49 52|invK
P07580058A0000|80 83|t-PA
P11224226A0000|49 70|benzodiazepine receptor
P06784123A0771|9 14|C mu RNA
P08356792A1275|13 23|p21X protein
P11606538A1002|34 36|Nrk
P08149484A1551|142 145|AP-1
P08537403A0336|33 37|LIMK2
P08771787T0000|18 20|LRP
P11094075A0257|131 147|v-ras-Ki oncogenes
P09705497A0227|3 15|yeast MMS2 gene
P09990507A0763|46 49|Pop2
P01627830A0000|76 79|CKI1
P09344650A0967|70 77|Casr-rs1
P02846640A0643|37 54|indoxyl phosphatase
P02582918A0000|85 92|anti-HBs
P11278594A0618|67 85|TGF-beta1 propeptide
P09409821T0000|3 34|Saccharomyces cerevisiae RAD30 gene
P10872831A0000|51 72|erythropoietin receptor
P09091403T0001|80 90|kB-like site
P07563090A0124|182 204|integrase coding sequence
P08118044A0318|0 9|GATA-1 mRNA
P00993176A0066|5 13|myoglobin
P07575438A1409|56 64|E1 element
P11179687A0280|151 162|receptor PTPs
P06805537T0001|45 54|factor VIII
P08728040T0000|63 71|Jun kinase
P08918934A0424|73 76|NTF2
P10625683A0091|43 46|PTKs
P10224293A0000|0 34|Receptor protein tyrosine phosphatases
P01384229A0175|105 113|BF-IV gene
P10572131A0000|73 87|nasFEDCBA operon
P10801809T0000|75 86|PHO5 promoter
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P08621542A0535|103 111|TNF-alpha
P09182707A0254|48 66|focal adhesion kinase
P09049304A1193|39 43|Egr-1
P02674674A1308|64 74|OBF1 protein
P08395654T0000|72 87|rat aromatase gene
P02353453A1249|13 25|helicase motif
P09537651A0366|60 64|v-src
P10360839A1338|69 87|KRAB zinc finger genes
P11416012A2511|277 312|mitogen-activated protein kinase kinase
P11160688A1726|60 67|cyclin D3
P10713175A1399|34 36|ARF
P08626313A1037|12 14|Msp
P07811964A1252|74 79|EmBP-1
P02545903A0639|71 74|NS3A
P08144852A0000|84 111|corticotropin releasing factor
P08091665T0000|74 90|type II TNF receptor
P10987280A0604|76 89|Zn-binding site
P09488491A0000|0 2|E2F
P01447189T0000|30 43|serine protease
P01285009A0000|169 185|chicken beta-actin
P07813786A0641|61 75|XMyoDa TATA motif
P10454557A0000|200 207|HML locus
P10606515A0389|92 97|DNase I
P09233772A0136|315 337|heterotrimeric G proteins
P10727515A1202|159 172|pertussis toxin
P08769566A0000|70 113|zinc finger homeodomain enhancer-binding protein
P11007954A0170|38 41|Grb2
P10395199A0792|58 69|anti-Ras scFv
P11669476A0346|143 149|insulin
P10051488A1610|14 21|AP-1 site
P07816630A1333|81 93|beta-tubulin 2
P02780157A0576|81 85|HBsAg
P10532805A1084|34 47|protein kinase A
P09202669A0614|3 8|pWP-19
P08160905A0217|34 57|hepatitis B surface antigen
P01363080A0710|135 151|carbonic anhydrase
P09918715A1158|61 78|TATA binding protein
P07579328A0653|14 28|CAT reporter gene
P07929411A0087|49 65|Drosophila protein
P08836740A1025|7 10|CES1
P08139017A1465|111 119|Ets-1 cDNA
P07569640A0539|37 43|albumin
P07616563A0532|29 46|carAB control region
P09169593T0000|56 58|MEK
P10497117A0358|35 42|V protein
P08798443A0660|122 124|Myb
P08552096A0151|62 65|UBS1
P10400593A1084|57 61|VirE2
P08114710A0137|25 29|LBP-1
P10074903A0915|122 125|IFNs
P11102458A0000|181 194|protein kinase A
P02482293A1518|2 4|TNF
P09915860A0000|81 88|mdr genes
P01895393A0745|50 57|Sp1 sites
P09442072A0716|161 174|murine fVII gene
P07836406A0884|49 53|MHC-B
P09806546A1270|25 29|RFXAP
P11046153A1052|76 90|p300 coactivator
P10826946A1198|67 71|gp120
P11112700T0000|21 44|microtubule binding domain
P09325278A0458|47 66|ER1 amino acid sequence
P09013499A0198|63 90|N-methyl-D-aspartate receptor
P08394464A1080|11 21|Rev proteins
P09820611T0000|48 77|recombinant human erythropoietin
P10954564A1262|42 53|ORF 50 protein
P02449431A1121|0 8|ATP gamma S
P09920903A1045|26 34|c-met gene
P09261155A0833|124 128|IRS-2
P02204810A1080|12 14|GA2
P07963540A0795|83 87|c-Rel
P08980522A0280|9 12|cpm7
P10318806A0000|53 87|extracellular signal-regulated kinase
P09545638A0330b|58 61|HMT1
P08112601T0000|87 104|recombinant protein
P09393717A1517|147 150|mutA
P09285789A0712|75 78|rac1
P06346427A0000|23 29|insulin
P02495745T0000|62 67|AK-124
P08509419A0785|94 114|yeast cytoplasmic TyrRS
P10713176A0422|46 48|E2F
P10086544A0504|269 286|neutrophil elastase
P11202434T0000|137 143|ankyrin
P01318310A0000|84 86|HDL
P10747053A1102|152 156|TAF17
P01822995T0000|0 16|Maize rbcS promoter
P10913172A0442|51 55|Rad24
P09535833A0228|31 36|m-Staf
P01333047A0404|14 34|epidermal growth factor
P08621420A1166|69 71|p65
P09243840A0663|61 68|HLA-DQA1
P08337841A0612|28 31|ARV G
P08412665A0000|3 12|scr regulon
P09478976T0000|0 10|Oncostatin M
P10037681A0494|29 37|PKC-alpha
P02201901A0229|59 69|SSN6 protein
P09632709A0464|81 116|Drosophila melanogaster nuclear protein
P08063775T0000|12 44|parathyroid hormone-related protein
P11557127A0991|13 16|NF-Y
P09422727A0196|161 164|CREB
P10825200T0000|114 116|Lck
P01679124A1368|43 46|ChAT
P10076007A0656|28 40|casein kinase 2
P00710372A0302|82 83|GH
P09303437A0875|159 174|p12 basal promoter
P10478844A1604|87 97|PPARalphawt
P09620273A0189|111 133|E2F transcription factors
P07540773A0576|11 13|NSE
P02833049A1041|167 176|RD-114 mRNA
P08892757T0000|18 22|Elk-3
P09242551A0653|0 8|EBER1 mRNA
P08846775A0110|21 24|Swi6
P01313846A0850|159 182|carcinoembryonic Ag family
P01645902A1462|119 127|UL 24 genes
P11408604A1440|101 112|PDGF receptor
P08861955A0927|183 185|Ran
P07563090A0124|60 74|yeast Ty1 element
P08093616T0000|113 127|Drosophila genes
P10777669A0582|3 12|ZNF274 gene
P01326329A0703|157 173|activator protein 2
P01581577A1186|0 4|PSI-G
P06585277A0000|58 81|prostatic acid phosphatase
P03053713A0752|18 25|DPM1 gene
P09501982A1178|357 363|XNeuroD
P01870428A0677|34 36|HDL
P07754713A0227|15 19|PRP21
P02052592A0000|252 255|IL-1
P10611242A0541|26 38|wild-type SAGA
P10574992A0901|56 65|PARP enzyme
P07748493A1045|105 107|ELH
P09467900A0701|3 15|CAPLC1 protein
P02685565A0165|118 127|c-myb genes
P10648020A0151|145 149|PAI-1
P11367523A1684|33 35|C4B
P04014861A0000|125 127|SOD
P11557127A0991|20 34|Sp1 binding sites
P01512259A0867|104 110|Dfurin2
P09566871A0343|155 182|reverse transcriptase proteins
P07935472A0790|35 39|Ets-1
P01718043A0384|48 58|PMN elastase
P10992299A0745|72 75|PI12
P11113179A0541|135 138|p300
P01256410T0001|16 31|factor II molecule
P09111340A0240|210 250|bacterial chloramphenicol acetyltransferase
P10858988A0786|0 2|ECP
P10026146A0680|127 158|type I cAMP-dependent protein kinase
P02123877A1452|96 100|fra-1
P08722568A1001|114 127|H3 histone genes
P09339900A0939|60 67|cyclin D2
P09317131A1332|98 101|IL-4
P09566871A0343|2 12|fus3 mutants
P10650939A0789|61 64|AP-1
P03104982A0690|15 24|hemoglobin
P11139469A0402|62 65|Ang1
P10559207A0207|22 35|ATP sulfurylase
P10760109A1050|150 154|IGF-1
P02732341A0000|156 176|chloroacetate esterase
P09753241A0524|94 96|MPO
P09736697A0783|93 96|JNK1
P01643943A0300|55 57|TFR
P09668063A0274|27 37|Ets proteins
P00377466A0188|42 67|follicle stimulating hormone
P01901405A0694|42 47|AT-BP2
P08524314A0216|3 6|TEA1
P08932363A0807|7 19|E1A N-terminus
P10933732A0000|145 170|interferon regulatory factor
P11046148A0716|19 21|Syk
P10647817T0000|74 77|PTA1
P10751398A1135|70 73|CD40
P09735366A1180|100 103|EPL1
P08971721A1314|58 61|HspA
P07513703T0000|111 136|insulin receptor substrate-1
P08805338A1061|117 120|Ogg1
P01452037A0000|149 151|TIM
P08637717A1231|1 10|p21 peptide
P09098066A0119|90 93|HMW3
P02689439A0000|43 52|EC 2.5.1.18
P09649437A1140|91 96|GATA-1
P09020169A0552|7 10|SIM2
P08973185T0061|60 62|AAC
P01702972A0613|67 76|G0S19 genes
P10903843A0447|119 128|Kcnq1 genes
P01321336A0731|19 26|ALF1 cDNA
P11369700A0616|82 106|transcription factors Elf-1
P09642214A0244|120 123|MAPK
P07937954A0612|108 116|MAP kinase
P01695378A1406|98 105|FKBP mRNA
P08496599A0310|34 40|BGP gene
P11278440A0095|0 2|SV1
P09794795A0183|240 244|STAT3
P09335298A0529|24 35|parCBA operon
P08430095A0161|88 92|PRP38
P02505087A1037|91 94|GCN4
P08496601A1153|211 240|human growth hormone reporter gene
P09343210A1112|44 57|VCAM-1 promoter
P01678287A1308|10 37|human Antp TATAA binding protein
P07948129A0297|188 215|neomycin phosphotransferase II
P02437792T0000|26 32|amylase
